"Timestamp";"TI";"RHI";"DEWI";"T1";"RH1";"DEW1";"T2";"RH2";"DEW2";"T3";"RH3";"DEW3";"T4";"RH4";"DEW4";"T5";"RH5";"DEW5";"T6";"RH6";"DEW6";"T7";"RH7";"DEW7";"T8";"RH8";"DEW8"
2017-01-01 00:01:00;"23,0";"51";"12,3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"21,5";"56";"12,4";"22,9";"51";"12,3";"21,6";"55";"12,2";"21,7";"59";"13,4";"21,5";"59";"13,2";
2021-11-26 10:15:00;"22,9";"51";"12,3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"22,6";"50";"11,7";"21,6";"56";"12,5";"---";"---";"---";"21,4";"58";"12,8";"21,7";"59";"13,4";
2026-02-25 12:00:00;"17,2";"62";"9,9";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 12:15:00;"19,6";"56";"10,6";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 12:30:00;"20,6";"59";"12,3";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 12:45:00;"21,0";"59";"12,7";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 13:00:00;"20,7";"52";"10,5";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 13:15:00;"20,6";"52";"10,4";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 13:30:00;"20,5";"51";"10,0";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
2026-02-25 13:45:00;"20,4";"53";"10,5";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";"---";
